titles,durations,Link
1 1 Welcome to my course - BEM1105x Course - Prof. Jakša Cvitanić,3mins,https://www.youtube.com/watch?v=77cRgL0L2p8
1 2 Overview,11mins,https://www.youtube.com/watch?v=Z-Jg_HUr4Dc
"1 3 Stocks, bonds, forwards Part I",14mins,https://www.youtube.com/watch?v=RGI7rLIAn7A
"1 4 Stocks, bonds, forwards Part II",10mins,https://www.youtube.com/watch?v=EEzHNNCVx6A
1 5 Swaps,15mins,https://www.youtube.com/watch?v=8ONSc_tG4Hg
1 6 Call and Put Options Part I,13mins,https://www.youtube.com/watch?v=3REjWQYcIzg
1 7 Call and Put Options Part II,15mins,https://www.youtube.com/watch?v=EQ4MRa6ySM4
1 8 Call and Put Options Part III,18mins,https://www.youtube.com/watch?v=rb5S6FgqIcA
1 9 Options combinations Part I,16mins,https://www.youtube.com/watch?v=YTlgcf16gCw
1 10 Options combinations Part II,17mins,https://www.youtube.com/watch?v=1OeMOGreZes
2 1 Pricing deterministic payoffs   Part 1,18mins,https://www.youtube.com/watch?v=BuxGarL2Iu8
2 2 Pricing deterministic payoffs   Part 2,22mins,https://www.youtube.com/watch?v=98OHlQvTnf4
2 3 Bonds   Part 1,12mins,https://www.youtube.com/watch?v=q5FXKCsRA44
2 4 Bonds   Part 2,20mins,https://www.youtube.com/watch?v=A-VmGNFugok
2 5 Bonds   Part 3,16mins,https://www.youtube.com/watch?v=7dL5HZZkGzo
"3 1 Model independent relations   forwards, futures and swaps   Part 1",17mins,https://www.youtube.com/watch?v=k-5SjgTQrfc
"3 2 Model independent relations   forwards, futures and swaps   Part 2",15mins,https://www.youtube.com/watch?v=Q1ZFXW0bOfM
"3 3 Model independent relations   forwards, futures and swaps   Part 3",14mins,https://www.youtube.com/watch?v=uQ4vugxQ2Bg
"3 4 Model independent relations   forwards, futures and swaps   Part IV",25mins,https://www.youtube.com/watch?v=rDHnuAByxso
3 5 Model independent relations   options   Part 1,12mins,https://www.youtube.com/watch?v=DoeK_1Pm0HQ
3 6 Model independent relations   options   Part 2,15mins,https://www.youtube.com/watch?v=vGgNEb3m6Uc
3 7 Model independent relations   options   Part 3,13mins,https://www.youtube.com/watch?v=MJyOJ4_N8U0
4 1  Discrete time models,23mins,https://www.youtube.com/watch?v=VhGeuKsCdKM
